#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 03 03 56 999 99.0 99.0  2.09 13.33  8.70 274 9999.0 999.0  14.0 999.0 99.0 99.00
2023 01 03 04 26 999 99.0 99.0  2.08 13.33  8.67 282 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 03 04 56 999 99.0 99.0  2.13 14.29  8.60 274 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 03 05 26 999 99.0 99.0  2.19 13.33  8.42 278 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 03 05 56 999 99.0 99.0  2.30 12.50  8.51 282 9999.0 999.0  13.7 999.0 99.0 99.00
2023 01 03 06 26 999 99.0 99.0  2.30 13.33  8.39 278 9999.0 999.0  13.7 999.0 99.0 99.00
2023 01 03 10 26 999 99.0 99.0  2.41 15.38  7.56 292 9999.0 999.0  13.7 999.0 99.0 99.00
2023 01 03 11 26 999 99.0 99.0  2.60 14.29  7.65 295 9999.0 999.0  13.7 999.0 99.0 99.00
2023 01 03 11 56 999 99.0 99.0  2.76 14.29  8.07 290 9999.0 999.0  13.7 999.0 99.0 99.00
2023 01 03 12 26 999 99.0 99.0  2.68 14.29  7.99 296 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 03 12 56 999 99.0 99.0  2.63 15.38  7.71 297 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 03 13 26 999 99.0 99.0  2.85 15.38  8.80 295 9999.0 999.0  14.1 999.0 99.0 99.00
2023 01 03 13 56 999 99.0 99.0  2.70 15.38  8.27 292 9999.0 999.0  14.0 999.0 99.0 99.00
2023 01 03 14 26 999 99.0 99.0  2.69 15.38  8.73 292 9999.0 999.0  14.1 999.0 99.0 99.00
2023 01 03 14 56 999 99.0 99.0  2.67 15.38  8.95 299 9999.0 999.0  14.1 999.0 99.0 99.00
2023 01 03 15 26 999 99.0 99.0  2.80 16.67  9.50 293 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 03 15 56 999 99.0 99.0  2.81 16.67  9.02 295 9999.0 999.0  14.2 999.0 99.0 99.00
2023 01 03 16 26 999 99.0 99.0  2.81 14.29  8.81 300 9999.0 999.0  14.2 999.0 99.0 99.00
2023 01 03 16 56 999 99.0 99.0  3.00 15.38  9.27 297 9999.0 999.0  14.0 999.0 99.0 99.00
2023 01 03 17 26 999 99.0 99.0  3.23 15.38  9.92 289 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 03 17 56 999 99.0 99.0  3.35 15.38 10.05 292 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 03 18 26 999 99.0 99.0  3.48 14.29  9.78 295 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 03 18 56 999 99.0 99.0  3.36 15.38  9.89 292 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 03 19 26 999 99.0 99.0  2.85 15.38  9.09 285 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 03 19 56 999 99.0 99.0  3.08 15.38  9.72 290 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 03 20 26 999 99.0 99.0  3.20 15.38  9.92 293 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 03 20 56 999 99.0 99.0  3.13 14.29  9.95 292 9999.0 999.0  14.0 999.0 99.0 99.00
2023 01 03 21 26 999 99.0 99.0  3.09 15.38 10.05 297 9999.0 999.0  14.1 999.0 99.0 99.00
2023 01 03 21 56 999 99.0 99.0  3.05 15.38  9.96 293 9999.0 999.0  14.1 999.0 99.0 99.00
2023 01 03 22 26 999 99.0 99.0  3.11 14.29 10.20 296 9999.0 999.0  14.1 999.0 99.0 99.00
2023 01 03 22 56 999 99.0 99.0  2.96 14.29  9.72 296 9999.0 999.0  14.1 999.0 99.0 99.00
2023 01 03 23 26 999 99.0 99.0  3.18 14.29 10.27 293 9999.0 999.0  14.1 999.0 99.0 99.00
2023 01 03 23 56 999 99.0 99.0  2.84 14.29  9.62 295 9999.0 999.0  14.0 999.0 99.0 99.00
2023 01 04 00 26 999 99.0 99.0  3.10 14.29 10.19 293 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 04 00 56 999 99.0 99.0  2.76 13.33  9.33 293 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 04 01 26 999 99.0 99.0  2.90 13.33  9.96 290 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 04 01 56 999 99.0 99.0  2.84 15.38  9.75 303 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 04 02 26 999 99.0 99.0  3.18 15.38 10.36 293 9999.0 999.0  14.1 999.0 99.0 99.00
2023 01 04 02 56 999 99.0 99.0  3.16 14.29 10.34 293 9999.0 999.0  14.1 999.0 99.0 99.00
2023 01 04 03 26 999 99.0 99.0  3.39 14.29 10.45 292 9999.0 999.0  14.2 999.0 99.0 99.00
2023 01 04 03 56 999 99.0 99.0  2.94 15.38 10.03 286 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 04 04 26 999 99.0 99.0  3.02 14.29 10.63 290 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 04 04 56 999 99.0 99.0  3.13 14.29 10.78 282 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 04 05 26 999 99.0 99.0  3.01 13.33 10.31 286 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 04 05 56 999 99.0 99.0  3.45 15.38 11.26 288 9999.0 999.0  14.2 999.0 99.0 99.00
2023 01 04 06 26 999 99.0 99.0  3.05 15.38 10.45 290 9999.0 999.0  14.2 999.0 99.0 99.00
2023 01 04 06 56 999 99.0 99.0  3.47 15.38 11.18 293 9999.0 999.0  14.5 999.0 99.0 99.00
2023 01 04 07 26 999 99.0 99.0  3.24 16.67 11.09 289 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 04 07 56 999 99.0 99.0  3.47 14.29 11.03 296 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 04 08 26 999 99.0 99.0  3.35 15.38 11.33 288 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 04 08 56 999 99.0 99.0  3.38 15.38 11.45 288 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 04 09 26 999 99.0 99.0  3.49 15.38 11.44 293 9999.0 999.0  14.2 999.0 99.0 99.00
2023 01 04 09 56 999 99.0 99.0  3.52 16.67 11.37 292 9999.0 999.0  14.7 999.0 99.0 99.00
2023 01 04 10 26 999 99.0 99.0  3.20 16.67 10.96 296 9999.0 999.0  14.9 999.0 99.0 99.00
